a00;colera
a000;colera devida vibrio cholerae 01 biotipo cholerae
a001;colera devida vibrio cholerae 01 biotipo el tor
a009;colera nao especificada
a01;febres tifoide paratifoide
a010;febre tifoide
a011;febre paratifoide a
a012;febre paratifoide b
a013;febre paratifoide c
a014;febre paratifoide nao especificada
a02;outras infeccoes salmonella
a020;enterite salmonela
a021;septicemia salmonela
a022;infeccoes localizadas salmonela
a028;outras infeccoes especificadas salmonela
a029;infeccao nao especificada salmonela
a03;shiguelose
a030;shiguelose devida shigella dysenteriae
a031;shiguelose devida shigella flexneri
a032;shiguelose devida shigella boydii
a033;shiguelose devida shigella sonnei
a038;outras shigueloses
a039;shiguelose nao especificada
a04;outras infeccoes intestinais bacterianas
a040;infeccao escherichia coli enteropatogenica
a041;infeccao escherichia coli enterotoxigenica
a042;infeccao escherichia coli enteroinvasiva
a043;infeccao escherichia coli enterohemorragica
a044;outras infeccoes intestinais escherichia coli
a045;enterite campylobacter
a046;enterite devida yersinia enterocolitica
a047;enterocolite devida clostridium difficile
a048;outras infeccoes bacterianas intestinais especificadas
a049;infeccao intestinal bacteriana nao especificada
a05;outras intoxicacoes alimentares bacterianas nao classificadas outra parte
a050;intoxicacao alimentar estafilococica
a051;botulismo
a052;intoxicacao alimentar devida clostridium perfringens clostridium welchii
a053;intoxicacao alimentar devida vibrio parahemolyticus
a054;intoxicacao alimentar devida bacillus cereus
a058;outras intoxicacoes alimentares bacterianas especificadas
a059;intoxicacao alimentar bacteriana nao especificada
a06;amebiase
a060;disenteria amebiana aguda
a061;amebiase intestinal cronica
a062;colite amebiana nao disenterica
a063;ameboma intestinal
a064;abscesso amebiano figado
a065;abscesso amebiano pulmao
a066;abscesso amebiano cerebro
a067;amebiase cutanea
a068;infeccao amebiana outras localizacoes
a069;amebiase nao especificada
a07;outras doencas intestinais protozoarios
a070;balantidiase
a071;giardiase lambliase
a072;criptosporidiose
a073;isosporiase
a078;outras doencas intestinais especificadas protozoarios
a079;doenca intestinal nao especificada protozoarios
a08;infeccoes intestinais virais outras nao especificadas
a080;enterite rotavirus
a081;gastroenteropatia aguda pelo agente norwalk
a082;enterite adenovirus
a083;outras enterites virais
a084;infeccao intestinal devida virus nao especificado
a085;outras infeccoes intestinais especificadas
a09;diarreia gastroenterite origem infecciosa presumivel
a15;tuberculose respiratoria confirmacao bacteriologica histologica
a150;tuberculose pulmonar confirmacao exame microscopico expectoracao sem cultura
a151;tuberculose pulmonar confirmacao somente cultura
a152;tuberculose pulmonar confirmacao histologica
a153;tuberculose pulmonar confirmacao meio nao especificado
a154;tuberculose ganglios intratoracicos confirmacao bacteriologica histologica
a155;tuberculose laringe traqueia bronquios confirmacao bacteriologica histologica
a156;pleuris tuberculoso confirmacao bacteriologica histologica
a157;tuberculose primaria vias respiratorias confirmacao bacteriologica histologica
a158;outras formas tuberculose vias respiratorias confirmacao bacteriologica histologica
a159;tuberculose nao especificada vias respiratorias confirmacao bacteriologica histologica
a16;tuberculose vias respiratorias sem confirmacao bacteriologica histologica
a160;tuberculose pulmonar exames bacteriologico histologico negativos
a161;tuberculose pulmonar sem realizacao exame bacteriologico histologico
a162;tuberculose pulmonar sem mencao confirmacao bacteriologica histologica
a163;tuberculose ganglios intratoracicos sem mencao confirmacao bacteriologica histologica
a164;tuberculose laringe traqueia bronquios sem mencao confirmacao bacteriologica histologica
a165;pleurisia tuberculosa sem mencao confirmacao bacteriologica histologica
a167;tuberculosa respiratoria primaria sem mencao confirmacao bacteriologica histologica
